
 ÎÂ¶È	 ×èÖµ

 (¡æ) 	 (¦¸)

 -50.00	 803.063

 -49.50	 805.048

 -49.00	 807.033

 -48.50	 809.018

 -48.00	 811.003

 -47.50	 812.987

 -47.00	 814.970

 -46.50	 816.954

 -46.00	 818.937

 -45.50	 820.919

 -45.00	 822.902

 -44.50	 824.884

 -44.00	 826.865

 -43.50	 828.847

 -43.00	 830.828

 -42.50	 832.808

 -42.00	 834.789

 -41.50	 836.769

 -41.00	 838.748

 -40.50	 840.728

 -40.00	 842.707

 -39.50	 844.685

 -39.00	 846.663

 -38.50	 848.641

 -38.00	 850.619

 -37.50	 852.596

 -37.00	 854.573

 -36.50	 856.550

 -36.00	 858.526

 -35.50	 860.502

 -35.00	 862.478

 -34.50	 864.453

 -34.00	 866.428

 -33.50	 868.403

 -33.00	 870.377

 -32.50	 872.351

 -32.00	 874.325

 -31.50	 876.298

 -31.00	 878.271

 -30.50	 880.244

 -30.00	 882.217

 -29.50	 884.189

 -29.00	 886.160

 -28.50	 888.132

 -28.00	 890.103

 -27.50	 892.074

 -27.00	 894.044

 -26.50	 896.015

 -26.00	 897.985

 -25.50	 899.954

 -25.00	 901.923

 -24.50	 903.892

 -24.00	 905.861

 -23.50	 907.829

 -23.00	 909.797

 -22.50	 911.765

 -22.00	 913.732

 -21.50	 915.700

 -21.00	 917.666

 -20.50	 919.633

 -20.00	 921.599

 -19.50	 923.565

 -19.00	 925.530

 -18.50	 927.496

 -18.00	 929.461

 -17.50	 931.425

 -17.00	 933.390

 -16.50	 935.354

 -16.00	 937.317

 -15.50	 939.281

 -15.00	 941.244

 -14.50	 943.207

 -14.00	 945.169

 -13.50	 947.132

 -13.00	 949.093

 -12.50	 951.055

 -12.00	 953.016

 -11.50	 954.977

 -11.00	 956.938

 -10.50	 958.899

 -10.00	 960.859

 -9.50	 962.819

 -9.00	 964.778

 -8.50	 966.737

 -8.00	 968.696

 -7.50	 970.655

 -7.00	 972.613

 -6.50	 974.572

 -6.00	 976.529

 -5.50	 978.487

 -5.00	 980.444

 -4.50	 982.401

 -4.00	 984.358

 -3.50	 986.314

 -3.00	 988.270

 -2.50	 990.226

 -2.00	 992.181

 -1.50	 994.136

 -1.00	 996.091

 -0.50	 998.046

 0.00	 1000.000

 0.50	 1001.954

 1.00	 1003.908

 1.50	 1005.861

 2.00	 1007.814

 2.50	 1009.767

 3.00	 1011.720

 3.50	 1013.672

 4.00	 1015.624

 4.50	 1017.576

 5.00	 1019.527

 5.50	 1021.478

 6.00	 1023.429

 6.50	 1025.380

 7.00	 1027.330

 7.50	 1029.280

 8.00	 1031.229

 8.50	 1033.179

 9.00	 1035.128

 9.50	 1037.077

 10.00	 1039.025

 10.50	 1040.973

 11.00	 1042.921

 11.50	 1044.869

 12.00	 1046.816

 12.50	 1048.764

 13.00	 1050.710

 13.50	 1052.657

 14.00	 1054.603

 14.50	 1056.549

 15.00	 1058.495

 15.50	 1060.440

 16.00	 1062.385

 16.50	 1064.330

 17.00	 1066.274

 17.50	 1068.218

 18.00	 1070.162

 18.50	 1072.106

 19.00	 1074.049

 19.50	 1075.992

 20.00	 1077.935

 20.50	 1079.877

 21.00	 1081.820

 21.50	 1083.762

 22.00	 1085.703

 22.50	 1087.644

 23.00	 1089.585

 23.50	 1091.526

 24.00	 1093.467

 24.50	 1095.407

 25.00	 1097.347

 25.50	 1099.286

 26.00	 1101.225

 26.50	 1103.164

 27.00	 1105.103

 27.50	 1107.042

 28.00	 1108.980

 28.50	 1110.917

 29.00	 1112.855

 29.50	 1114.792

 30.00	 1116.729

 30.50	 1118.666

 31.00	 1120.602

 31.50	 1122.538

 32.00	 1124.474

 32.50	 1126.410

 33.00	 1128.345

 33.50	 1130.280

 34.00	 1132.215

 34.50	 1134.149

 35.00	 1136.083

 35.50	 1138.017

 36.00	 1139.950

 36.50	 1141.884

 37.00	 1143.817

 37.50	 1145.749

 38.00	 1147.681

 38.50	 1149.614

 39.00	 1151.545

 39.50	 1153.477

 40.00	 1155.408

 40.50	 1157.339

 41.00	 1159.270

 41.50	 1161.200

 42.00	 1163.130

 42.50	 1165.060

 43.00	 1166.989

 43.50	 1168.918

 44.00	 1170.847

 44.50	 1172.776

 45.00	 1174.704

 45.50	 1176.632

 46.00	 1178.560

 46.50	 1180.487

 47.00	 1182.414

 47.50	 1184.341

 48.00	 1186.268

 48.50	 1188.194

 49.00	 1190.120

 49.50	 1192.046

 50.00	 1193.971

 50.50	 1195.896

 51.00	 1197.821

 51.50	 1199.746

 52.00	 1201.670

 52.50	 1203.594

 53.00	 1205.518

 53.50	 1207.441

 54.00	 1209.364

 54.50	 1211.287

 55.00	 1213.210

 55.50	 1215.132

 56.00	 1217.054

 56.50	 1218.975

 57.00	 1220.897

 57.50	 1222.818

 58.00	 1224.739

 58.50	 1226.659

 59.00	 1228.579

 59.50	 1230.499

 60.00	 1232.419

 60.50	 1234.338

 61.00	 1236.257

 61.50	 1238.176

 62.00	 1240.095

 62.50	 1242.013

 63.00	 1243.931

 63.50	 1245.848

 64.00	 1247.766

 64.50	 1249.683

 65.00	 1251.600

